"arm","analysis_span_id","path_position","episode_depth","passage_num","episode_id","seeding_date","last_harvest_date","seeding_media_id","seeding_media_label","media_transition_from_previous","source_media_run","incoming_harvest_to_seed_days","harvest_observation_count","episode_duration_days","episode_parent_count","episode_child_count","episode_is_branch_point","episode_is_multiparent","episode_qc_flags"
"C","MDAMB231_promoted_39_episodes_ignore_media",1,5,9,"MDA-MB-231_RPMI_A12_VT2_seed","2024-02-02T15:16:05Z","2024-02-05T13:38:05Z",19,"RPMI-1640 90%; FBS 10%; L_glutamine 2e+06 nM; O2 20.5%",FALSE,"media19_position_1",,1,2.93194444444444,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",2,6,10,"MDA-MB-231_RPMI_seed","2025-02-07T11:22:30Z","2025-02-10T11:30:28Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",TRUE,"media82_positions_2_39",367.905844907407,1,3.00553240740741,1,16,TRUE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",3,7,11,"MDA-MB-231_C_A1_seed","2025-02-12T12:40:42Z","2025-02-14T15:54:12Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.04877314814815,1,2.134375,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",4,8,12,"MDA-MB-231_C_A2_seed","2025-02-18T14:35:10Z","2025-02-21T14:38:03Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",3.94511574074074,2,3.00200231481481,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",5,9,13,"MDA-MB-231_C_A3_seed","2025-02-21T17:03:22Z","2025-02-24T12:04:49Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.100914351851852,1,2.79267361111111,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",6,10,14,"MDA-MB-231_C_A4_seed","2025-02-26T11:44:46Z","2025-02-28T09:57:03Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.98607638888889,1,1.92519675925926,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",7,11,15,"MDA-MB-231_C_A5_seed","2025-02-28T12:31:36Z","2025-03-03T21:13:38Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.107326388888889,1,3.36252314814815,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",8,12,16,"MDA-MB-231_C_A6_seed","2025-03-05T15:12:06Z","2025-03-10T18:22:10Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.74893518518519,2,5.13199074074074,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",9,13,17,"MDA-MB-231_C_A7_seed","2025-03-12T09:49:47Z","2025-03-17T17:07:59Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.64417824074074,2,5.30430555555556,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",10,14,18,"MDA-MB-231_C_A8_seed","2025-03-19T19:52:35Z","2025-03-24T18:36:00Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.11430555555556,2,4.94681712962963,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",11,15,19,"MDA-MB-231_C_A9_seed","2025-03-26T12:57:05Z","2025-03-28T12:32:12Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.7646412037037,1,1.98271990740741,1,1,FALSE,FALSE,
