"observation_id","passage_id","analysis_span_id","episode_id","path_position","episode_depth","passage_num","seeding_media_id","event","observation_calendar_date","seeding_calendar_date","calendar_day","precise_day","correctedCount_num","cellCount_num","selected_count","count_source"
"MDA-MB-231_G1_A1_seed","MDA-MB-231_G1_A1_seed","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A1_seed",1,7,11,83,"seeding","2025-02-12","2025-02-12",0,0,1163228,1163228,1163228,"corrected_count"
"MDA-MB-231_G1_A1_harvesT2","MDA-MB-231_G1_A1_harvesT2","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A1_seed",1,7,11,83,"harvest","2025-02-14","2025-02-12",2,2.31170138888889,7762564,7762564,7762564,"corrected_count"
"MDA-MB-231_G1_A2_seed","MDA-MB-231_G1_A2_seed","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"seeding","2025-02-18","2025-02-18",0,0,675219,675219,675219,"corrected_count"
"MDA-MB-231_G1_A2_harvesT1","MDA-MB-231_G1_A2_harvesT1","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-02-19","2025-02-18",1,0.958645833333333,1807596,1807596,1807596,"corrected_count"
"MDA-MB-231_G1_A2_harvesT3","MDA-MB-231_G1_A2_harvesT3","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-02-21","2025-02-18",3,2.99009259259259,3335427,3335427,3335427,"corrected_count"
"MDA-MB-231_G1_A2_harvesT6","MDA-MB-231_G1_A2_harvesT6","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-02-24","2025-02-18",6,6.10453703703704,2460377,2460377,2460377,"corrected_count"
"MDA-MB-231_G1_A2_harvesT8","MDA-MB-231_G1_A2_harvesT8","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-02-26","2025-02-18",8,8.01048611111111,3716860,3716860,3716860,"corrected_count"
"MDA-MB-231_G1_A2_harvesT10","MDA-MB-231_G1_A2_harvesT10","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-02-28","2025-02-18",10,9.96712962962963,2083853,2083853,2083853,"corrected_count"
"MDA-MB-231_G1_A2_harvesT13","MDA-MB-231_G1_A2_harvesT13","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-03","2025-02-18",13,13.1576851851852,1384795,1384795,1384795,"corrected_count"
"MDA-MB-231_G1_A2_harvesT15","MDA-MB-231_G1_A2_harvesT15","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-05","2025-02-18",15,14.8775231481481,3586443,3586443,3586443,"corrected_count"
"MDA-MB-231_G1_A2_harvesT17","MDA-MB-231_G1_A2_harvesT17","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-07","2025-02-18",17,16.9215277777778,2084554,2084554,2084554,"corrected_count"
"MDA-MB-231_G1_A2_harvesT20","MDA-MB-231_G1_A2_harvesT20","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-10","2025-02-18",20,19.9631712962963,4570875,4570875,4570875,"corrected_count"
"MDA-MB-231_G1_A2_harvesT22","MDA-MB-231_G1_A2_harvesT22","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-12","2025-02-18",22,22.0590625,4617151,4617151,4617151,"corrected_count"
"MDA-MB-231_G1_A2_harvesT24","MDA-MB-231_G1_A2_harvesT24","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-14","2025-02-18",24,23.8764583333333,3735090,3735090,3735090,"corrected_count"
"MDA-MB-231_G1_A2_harvesT27","MDA-MB-231_G1_A2_harvesT27","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-17","2025-02-18",27,27.1537731481481,3191689,3191689,3191689,"corrected_count"
"MDA-MB-231_G1_A2_harvesT29","MDA-MB-231_G1_A2_harvesT29","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-19","2025-02-18",29,29.0377199074074,3670583,3670583,3670583,"corrected_count"
"MDA-MB-231_G1_A2_harvesT31","MDA-MB-231_G1_A2_harvesT31","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-21","2025-02-18",31,30.9894907407407,6119742,6119742,6119742,"corrected_count"
"MDA-MB-231_G1_A2_harvesT34","MDA-MB-231_G1_A2_harvesT34","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-24","2025-02-18",34,34.0733333333333,4096889,4096889,4096889,"corrected_count"
"MDA-MB-231_G1_A2_harvesT36","MDA-MB-231_G1_A2_harvesT36","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-26","2025-02-18",36,35.9742939814815,4190845,4190845,4190845,"corrected_count"
"MDA-MB-231_G1_A2_harvesT38","MDA-MB-231_G1_A2_harvesT38","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A2_seed",2,8,12,86,"harvest","2025-03-28","2025-02-18",38,38.0215509259259,4556150,4556150,4556150,"corrected_count"
"MDA-MB-231_G1_A3_seed","MDA-MB-231_G1_A3_seed","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A3_seed",3,9,13,86,"seeding","2025-04-01","2025-04-01",0,0,429111,429111,429111,"corrected_count"
"MDA-MB-231_G1_A3_harvesT1","MDA-MB-231_G1_A3_harvesT1","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A3_seed",3,9,13,86,"harvest","2025-04-02","2025-04-01",1,0.90244212962963,1098721,1098721,1098721,"corrected_count"
"MDA-MB-231_G1_A3_harvesT3","MDA-MB-231_G1_A3_harvesT3","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A3_seed",3,9,13,86,"harvest","2025-04-04","2025-04-01",3,3.0980787037037,2407089,2407089,2407089,"corrected_count"
"MDA-MB-231_G1_A3_harvesT6","MDA-MB-231_G1_A3_harvesT6","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A3_seed",3,9,13,86,"harvest","2025-04-07","2025-04-01",6,6.06991898148148,4059027,4059027,4059027,"corrected_count"
"MDA-MB-231_G1_A3_harvesT8","MDA-MB-231_G1_A3_harvesT8","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A3_seed",3,9,13,86,"harvest","2025-04-09","2025-04-01",8,8.04716435185185,6311159,6311159,6311159,"corrected_count"
"MDA-MB-231_G1_A4_seed","MDA-MB-231_G1_A4_seed","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A4_seed",4,10,14,86,"seeding","2025-04-11","2025-04-11",0,0,443836,443836,443836,"corrected_count"
"MDA-MB-231_G1_A4_harvesT3","MDA-MB-231_G1_A4_harvesT3","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A4_seed",4,10,14,86,"harvest","2025-04-14","2025-04-11",3,2.8537962962963,2666519,2666519,2666519,"corrected_count"
"MDA-MB-231_G1_A4_harvesT5","MDA-MB-231_G1_A4_harvesT5","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A4_seed",4,10,14,86,"harvest","2025-04-16","2025-04-11",5,4.9074537037037,5213389,5914077,5213389,"corrected_count"
"MDA-MB-231_G1_A4_harvesT7","MDA-MB-231_G1_A4_harvesT7","MDAMB231_G1_full_13_episodes_ignore_media","MDA-MB-231_G1_A4_seed",4,10,14,86,"harvest","2025-04-18","2025-04-11",7,6.84773148148148,3021092,4051516,3021092,"corrected_count"
