"comparison_group","episode_id","episode_label","media_id","glucose_mM","monday_date","monday_episode_day","monday_count_million","wednesday_date","wednesday_episode_day","wednesday_count_million","count_change_million","wednesday_over_monday","count_change_over_glucose_million_per_mM"
"A2/A4 plateau weeks","MDA-MB-231_G1_A2_seed","A2",86,1.5,"2025-02-24",6,2.460377,"2025-02-26",8,3.71686,1.256483,1.51068718330565,0.837655333333334
"A2/A4 plateau weeks","MDA-MB-231_G1_A2_seed","A2",86,1.5,"2025-03-03",13,1.384795,"2025-03-05",15,3.586443,2.201648,2.58987286926946,1.46776533333333
"A2/A4 plateau weeks","MDA-MB-231_G1_A2_seed","A2",86,1.5,"2025-03-10",20,4.570875,"2025-03-12",22,4.617151,0.0462759999999998,1.01012410096535,0.0308506666666665
"A2/A4 plateau weeks","MDA-MB-231_G1_A2_seed","A2",86,1.5,"2025-03-17",27,3.191689,"2025-03-19",29,3.670583,0.478894,1.15004406757676,0.319262666666667
"A2/A4 plateau weeks","MDA-MB-231_G1_A2_seed","A2",86,1.5,"2025-03-24",34,4.096889,"2025-03-26",36,4.190845,0.0939560000000004,1.02293349905257,0.0626373333333336
"A2/A4 plateau weeks","MDA-MB-231_G1_A4_seed","A4",86,1.5,"2025-04-21",10,4.266512,"2025-04-23",12,6.615879,2.349367,1.55065285179088,1.56624466666667
"A2/A4 plateau weeks","MDA-MB-231_G1_A4_seed","A4",86,1.5,"2025-04-28",17,2.777132,"2025-04-30",19,5.582113,2.804981,2.01002797130277,1.86998733333333
"A2/A4 plateau weeks","MDA-MB-231_G1_A4_seed","A4",86,1.5,"2025-05-05",24,2.420661,"2025-05-07",26,3.907813,1.487152,1.6143578138368,0.991434666666667
"A2/A4 plateau weeks","MDA-MB-231_G1_A4_seed","A4",86,1.5,"2025-05-12",31,2.112091,"2025-05-14",33,3.027776,0.915685,1.43354429330933,0.610456666666667
"A2/A4 plateau weeks","MDA-MB-231_G1_A4_seed","A4",86,1.5,"2025-05-19",38,3.335232,"2025-05-21",40,4.576197,1.240965,1.37207756461919,0.82731
"A6-A9 five-day passages","MDA-MB-231_G1_A6_seed","A6",86,1.5,"2025-06-09",3,2.663507,"2025-06-11",5,6.18143,3.517923,2.32078609142007,2.345282
"A6-A9 five-day passages","MDA-MB-231_G1_A7_seed","A7",86,1.5,"2025-06-16",3,3.935663,"2025-06-18",5,5.609963,1.6743,1.4254175217746,1.1162
"A6-A9 five-day passages","MDA-MB-231_G1_A8_seed","A8",86,1.5,"2025-06-23",3,3.299585,"2025-06-25",5,6.303967,3.004382,1.91053329433853,2.00292133333333
"A6-A9 five-day passages","MDA-MB-231_G1_A9_seed","A9",86,1.5,"2025-06-30",3,4.016983,"2025-07-02",5,8.008344,3.991361,1.99362158117174,2.66090733333333
"A10-A13 at 0.75 mM","MDA-MB-231_G1_A10_seed","A10",88,0.75,"2025-07-07",2,2.566591,"2025-07-09",4,2.495297,-0.071294,0.972222297982031,-0.0950586666666666
"A10-A13 at 0.75 mM","MDA-MB-231_G1_A10_seed","A10",88,0.75,"2025-07-14",9,4.148431,"2025-07-16",11,4.233093,0.0846619999999998,1.02040819770173,0.112882666666666
"A10-A13 at 0.75 mM","MDA-MB-231_G1_A11_seed","A11",88,0.75,"2025-07-21",3,1.322285,"2025-07-23",5,1.170784,-0.151501,0.88542485167721,-0.202001333333333
"A10-A13 at 0.75 mM","MDA-MB-231_G1_A11_seed","A11",88,0.75,"2025-07-28",10,2.347139,"2025-07-30",12,1.183038,-1.164101,0.504034060189874,-1.55213466666667
"A10-A13 at 0.75 mM","MDA-MB-231_G1_A12_seed","A12",88,0.75,"2025-08-11",5,3.457769,"2025-08-13",7,4.309957,0.852188,1.24645602410109,1.13625066666667
"A10-A13 at 0.75 mM","MDA-MB-231_G1_A13_seed","A13",88,0.75,"2025-08-18",2,0.827681,"2025-08-20",4,2.340455,1.512774,2.82772589922929,2.017032
