"arm","episode_id","path_position","episode_depth","passage_num","seeding_media_id","fit_status","r_per_day","r_lower_95","r_upper_95","K","K_lower_95","K_upper_95","N_init"
"C","MDA-MB-231_RPMI_A12_VT2_seed",1,5,9,19,"converged",1.3625384120991,0.830763233667865,1.89431359053033,9301625.77415439,7472261.3718471,11578856.4849179,4394277.70630977
"C","MDA-MB-231_RPMI_seed",2,6,10,82,"converged",1.3777529575952,0.958569431508524,1.79693648368189,9580200.51233178,7899309.91049915,11618767.0690695,1402775.24107395
"C","MDA-MB-231_C_A1_seed",3,7,11,82,"converged",1.32697258628689,0.997949527208287,1.65599564536549,9709869.56817519,8053680.85977442,11706643.0458998,1614582.31360281
"C","MDA-MB-231_C_A2_seed",4,8,12,82,"converged",1.23311385241562,0.992324064573264,1.47390364025798,9805354.316808,8151768.52223936,11794369.8984884,513329.743118643
"C","MDA-MB-231_C_A3_seed",5,9,13,82,"converged",1.20594929352472,0.976318898984092,1.43557968806535,9903180.03098526,8258807.80242501,11874955.4502659,488678.808741879
"C","MDA-MB-231_C_A4_seed",6,10,14,82,"converged",1.23893021403019,1.02659379802838,1.451266630032,10034627.6194915,8425606.18424206,11950920.7124092,532902.480496189
"C","MDA-MB-231_C_A5_seed",7,11,15,82,"converged",1.20784541191517,1.00619832638474,1.40949249744559,10154920.7004115,8594029.34430635,11999309.0900913,434219.385332699
"C","MDA-MB-231_C_A6_seed",8,12,16,82,"converged",1.049588898836,0.842179403764793,1.25699839390722,10231548.154529,8710368.17285164,12018387.2324393,441679.13810016
"C","MDA-MB-231_C_A7_seed",9,13,17,82,"converged",1.09050482792409,0.88717331298658,1.29383634286161,10343617.9136073,8848791.93737354,12090964.7667062,786221.594672756
"C","MDA-MB-231_C_A8_seed",10,14,18,82,"converged",1.13344079640711,0.936108829322144,1.33077276349207,10447756.8398873,8934935.08100387,12216722.5610271,481442.53141487
"C","MDA-MB-231_C_A9_seed",11,15,19,82,"converged",1.20373590410472,0.9959887240964,1.41148308411304,10624142.4824045,9080924.25172967,12429616.2326134,614940.360413565
"C","MDA-MB-231_C_A10_seed",12,16,20,82,"converged",1.12854739698179,0.938533977044999,1.31856081691858,10772047.1250171,9204852.35794995,12606068.4898842,393287.775328006
"C","MDA-MB-231_C_A11_seed",13,17,21,82,"converged",1.17116763996109,0.974862262424302,1.36747301749788,10961179.5250673,9403560.97012293,12776804.1237237,503211.173717858
"C","MDA-MB-231_C_A12_seed",14,18,22,82,"converged",1.2201327425477,1.02838528774361,1.41188019735178,11252234.2204439,9671598.87827886,13091193.7669462,477934.662935634
