"arm","strategy","fit_unit_id","group_size","start_path_position","end_path_position","candidate_model","fit_status","criterion_eligible","n_observations","n_episodes","AIC","BIC","r_per_day","K","N_init"
"C","independent","MDA-MB-231_RPMI_A12_VT2_seed",,1,1,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_RPMI_A12_VT2_seed",,1,1,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_RPMI_A12_VT2_seed",,1,1,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_RPMI_A12_VT2_seed",,1,1,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_RPMI_seed",,2,2,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_RPMI_seed",,2,2,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_RPMI_seed",,2,2,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_RPMI_seed",,2,2,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A1_seed",,3,3,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A1_seed",,3,3,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A1_seed",,3,3,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A1_seed",,3,3,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A2_seed",,4,4,"exponential__normal","ok",TRUE,3,1,77.3104499972081,74.6062868632124,0.803347873226542,,607193.207810466
"C","independent","MDA-MB-231_C_A2_seed",,4,4,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A2_seed",,4,4,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,81.132361457158,78.4281983231623,0.826262219130242,,577209.380426192
"C","independent","MDA-MB-231_C_A2_seed",,4,4,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A3_seed",,5,5,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A3_seed",,5,5,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A3_seed",,5,5,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A3_seed",,5,5,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A4_seed",,6,6,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A4_seed",,6,6,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A4_seed",,6,6,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A4_seed",,6,6,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A5_seed",,7,7,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A5_seed",,7,7,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A5_seed",,7,7,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A5_seed",,7,7,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A6_seed",,8,8,"exponential__normal","ok",TRUE,3,1,88.4168744663009,85.7127113323052,0.477257777054317,,816923.838789018
"C","independent","MDA-MB-231_C_A6_seed",,8,8,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A6_seed",,8,8,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,91.9860085034503,89.2818453694546,0.567909251366027,,585648.411219218
"C","independent","MDA-MB-231_C_A6_seed",,8,8,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A7_seed",,9,9,"exponential__normal","ok",TRUE,3,1,95.3798171414581,92.6756540074624,0.352824959293601,,1725089.78541828
"C","independent","MDA-MB-231_C_A7_seed",,9,9,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A7_seed",,9,9,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,97.5915493302096,94.8873861962139,0.492681144514811,,1069885.21559617
"C","independent","MDA-MB-231_C_A7_seed",,9,9,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A8_seed",,10,10,"exponential__normal","ok",TRUE,3,1,93.9817611598457,91.27759802585,0.386208590044439,,1249611.61922606
"C","independent","MDA-MB-231_C_A8_seed",,10,10,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A8_seed",,10,10,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,96.5677035827872,93.8635404487915,0.556908413719198,,692923.81634031
"C","independent","MDA-MB-231_C_A8_seed",,10,10,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A9_seed",,11,11,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A9_seed",,11,11,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A9_seed",,11,11,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A9_seed",,11,11,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A10_seed",,12,12,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A10_seed",,12,12,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A10_seed",,12,12,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A10_seed",,12,12,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A11_seed",,13,13,"exponential__normal","ok",TRUE,3,1,95.2789849833388,92.5748218493432,0.362742150530602,,1432327.58378178
"C","independent","MDA-MB-231_C_A11_seed",,13,13,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A11_seed",,13,13,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,97.5890935387138,94.8849304047181,0.551812081965101,,753729.464648184
"C","independent","MDA-MB-231_C_A11_seed",,13,13,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A12_seed",,14,14,"exponential__normal","ok",TRUE,3,1,94.6129971205307,91.9088339865351,0.419959962963221,,1349022.09746528
"C","independent","MDA-MB-231_C_A12_seed",,14,14,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A12_seed",,14,14,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,97.5947134433803,94.8905503093847,0.608594401300334,,697722.314069422
"C","independent","MDA-MB-231_C_A12_seed",,14,14,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A13_seed",,15,15,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A13_seed",,15,15,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A13_seed",,15,15,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A13_seed",,15,15,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A14_seed",,16,16,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A14_seed",,16,16,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A14_seed",,16,16,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A14_seed",,16,16,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A15_seed",,17,17,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A15_seed",,17,17,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A15_seed",,17,17,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A15_seed",,17,17,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A16_seed",,18,18,"exponential__normal","ok",TRUE,3,1,83.5811633045418,80.8770001705462,1.0153689332347,,128733.538884548
"C","independent","MDA-MB-231_C_A16_seed",,18,18,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A16_seed",,18,18,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,89.7237790048539,87.0196158708582,0.807406030885889,,259722.645098338
"C","independent","MDA-MB-231_C_A16_seed",,18,18,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A17_seed",,19,19,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A17_seed",,19,19,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A17_seed",,19,19,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A17_seed",,19,19,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A18_seed",,20,20,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A18_seed",,20,20,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A18_seed",,20,20,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A18_seed",,20,20,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A19_seed",,21,21,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A19_seed",,21,21,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A19_seed",,21,21,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A19_seed",,21,21,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A20_seed",,22,22,"exponential__normal","ok",TRUE,3,1,92.8027197764061,90.0985566424104,0.477018871658562,,1108330.7164899
"C","independent","MDA-MB-231_C_A20_seed",,22,22,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A20_seed",,22,22,"exponential__mean_preserving_lognormal","ok",TRUE,3,1,96.457160049428,93.7529969154323,0.646070315008843,,603432.277623755
"C","independent","MDA-MB-231_C_A20_seed",,22,22,"logistic__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
"C","independent","MDA-MB-231_C_A21_seed",,23,23,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A21_seed",,23,23,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A21_seed",,23,23,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A21_seed",,23,23,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A22_seed",,24,24,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A22_seed",,24,24,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A22_seed",,24,24,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A22_seed",,24,24,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A23_seed",,25,25,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A23_seed",,25,25,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A23_seed",,25,25,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A23_seed",,25,25,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A24_seed",,26,26,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A24_seed",,26,26,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A24_seed",,26,26,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A24_seed",,26,26,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A25_seed",,27,27,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A25_seed",,27,27,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A25_seed",,27,27,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A25_seed",,27,27,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A26_seed",,28,28,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A26_seed",,28,28,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A26_seed",,28,28,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A26_seed",,28,28,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"exponential__normal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"logistic__normal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"exponential__mean_preserving_lognormal","no_residual_degrees_of_freedom",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A27_seed",,29,29,"logistic__mean_preserving_lognormal","insufficient_distinct_calendar_days",FALSE,2,1,,,,,
"C","independent","MDA-MB-231_C_A28_seed",,30,30,"exponential__normal","ok",TRUE,3,1,85.8430081977186,83.1388450637229,0.857089593639868,,406834.629414202
"C","independent","MDA-MB-231_C_A28_seed",,30,30,"logistic__normal","no_residual_degrees_of_freedom",FALSE,3,1,,,,,
