"arm","analysis_span_id","path_position","episode_id","observation_order_within_episode","calendar_day","precise_day","selected_count","count_source","id","cellLine","event","passaged_from_id1","passaged_from_id2","passage","cellCount","correctedCount","date","media","feeding1","feeding2","feeding3","feeding4","feeding5","feeding6","feeding7","feeding8","feeding9","feeding17","flask","areaOccupied_um2","cellSize_um2","owner","lastModified","address","comment"
"C","MDAMB231_promoted_39_episodes_ignore_media",1,"MDA-MB-231_RPMI_A12_VT2_seed",1,0,0,4416619,"corrected_count","MDA-MB-231_RPMI_A12_VT2_seed","MDAMB231","seeding","MDA-MB-231_RPMI_A12_VT_harvest",,9,4416619,4416619,"2024-02-02T15:16:05Z",19,,,,,,,,,,,2,5983557765.15152,1955.28250683631,"cloneredesign@206.81.166.225","noemi@206.81.166.225","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",1,"MDA-MB-231_RPMI_A12_VT2_seed",2,3,2.93194444444444,5470716,"raw_cell_count","MDA-MB-231_RPMI_A12_VT2_harves","MDAMB231","harvest","MDA-MB-231_RPMI_A12_VT2_seed",,9,5470716,,"2024-02-05T13:38:05Z",19,,,,,,,,,,,2,,,"vural@206.81.166.225","noemi@206.81.166.225","SRB Moffitt","; LTEE; images unavailable"
"C","MDAMB231_promoted_39_episodes_ignore_media",2,"MDA-MB-231_RPMI_seed",1,0,0,1338994,"corrected_count","MDA-MB-231_RPMI_seed","MDAMB231","seeding","MDA-MB-231_RPMI_A12_VT2_harves",,10,2193411,1338994,"2025-02-07T11:22:30Z",82,,,,,,,,,,,2,1483675189.39394,2310.10327,"jackson@206.81.166.225","noemi@47-203-10-141.fdr01.wlch.fl.ip.frontiernet.net","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",2,"MDA-MB-231_RPMI_seed",2,3,3.00553240740741,11762429,"corrected_count","MDA-MB-231_RPMI_seedT1","MDAMB231","harvest","MDA-MB-231_RPMI_seed",,10,10170564,11762429,"2025-02-10T11:30:28Z",82,,,,,,,,,,,2,7430503787.87879,741.69829,"jackson@206.81.166.225","noemi@47-203-10-141.fdr01.wlch.fl.ip.frontiernet.net","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",3,"MDA-MB-231_C_A1_seed",1,0,0,1538349,"corrected_count","MDA-MB-231_C_A1_seed","MDAMB231","seeding","MDA-MB-231_RPMI_seedT1",,11,1538349,1538349,"2025-02-12T12:40:42Z",82,,,,,,,,,,,2,1824232007.57576,2493.57361159396,"jackson@206.81.166.225","jackson@206.81.166.225","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",3,"MDA-MB-231_C_A1_seed",2,2,2.134375,7824967,"corrected_count","MDA-MB-231_C_A1_seedT1","MDAMB231","harvest","MDA-MB-231_C_A1_seed",,11,7824967,7824967,"2025-02-14T15:54:12Z",82,,,,,,,,,,,2,6729245265.15152,1256.44844101058,"jackson@206.81.166.225","jackson@206.81.166.225","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",4,"MDA-MB-231_C_A2_seed",1,0,0,556723,"corrected_count","MDA-MB-231_C_A2_seed","MDAMB231","seeding","MDA-MB-231_C_A1_seedT1",,12,556723,556723,"2025-02-18T14:35:10Z",82,,,,,,,,,,,2,559528409.090909,2886.9713212364,"jackson@206.81.166.225","jackson@206.81.166.225","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",4,"MDA-MB-231_C_A2_seed",2,1,1.05180555555556,1389703,"corrected_count","MDA-MB-231_C_A2_harvesT1","MDAMB231","harvest","MDA-MB-231_C_A2_seed",,12,1389703,1389703,"2025-02-19T15:49:46Z",82,,,,,,,,,,,2,1807267992.42424,2929.29156656514,"vural@206.81.166.225","vural@206.81.166.225","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",4,"MDA-MB-231_C_A2_seed",3,3,3.00200231481481,6758500,"corrected_count","MDA-MB-231_C_A2_harvesT3","MDAMB231","harvest","MDA-MB-231_C_A2_seed",,12,6758500,6758500,"2025-02-21T14:38:03Z",82,,,,,,,,,,,2,6839526515.15152,1456.98704344623,"jackson@206.81.166.225","jackson@206.81.166.225","SRB Moffitt","; LTEE"
"C","MDAMB231_promoted_39_episodes_ignore_media",5,"MDA-MB-231_C_A3_seed",1,0,0,490112,"corrected_count","MDA-MB-231_C_A3_seed","MDAMB231","seeding","MDA-MB-231_C_A2_harvesT3",,13,490112,490112,"2025-02-21T17:03:22Z",82,,,,,,,,,,,2,284417613.636364,955.308451076945,"jackson@206.81.166.225","jackson@206.81.166.225","SRB Moffitt","; LTEE"
