id,base1,base1_pct,base2,base2_pct,FBS,FBS_pct,EnergySource2,EnergySource2_pct,EnergySource,EnergySource_nM,HEPES,HEPES_mM,Salt,Salt_nM,antibiotic,antibiotic_pct,growthFactors,antibiotic2,antibiotic2_pct,antimycotic,antimycotic_pct,Stressor,Stressor_concentration,Stressor_unit,comment,antibiotic3,antibiotic4,antibiotic3_pct,antibiotic4_pct,oxygen_pct,export4pub
8,RPMI-1640,45,EMEM,45,FBS_heat_inactivated,10,,0,,0,,0,,0,,0,,,0,,0,,,,,,,0,0,20.5,0
9,EMEM,90,,0,FBS,10,NEAA,1,L_glutamine,2e+06,,0,,0,,0,,,0,,0,,,,,,,0,0,20.5,0
10,EBSS,100,,0,,0,,0,,0,,0,,0,,0,,,0,,0,,,,,,,0,0,20.5,0
11,IMDM,80,,0,FBS,20,,0,,0,,0,,0,,0,,,0,,0,,,,,,,0,0,20.5,0
13,RPMI-1640,90,,0,FBS,10,,0,,0,,0,,0,streptomycin,1,,Penicillin,1,,0,,,,,,,0,0,20.5,0
14,RPMI-1640,90,,0,FBS_heat_inactivated,10,,0,,0,,0,,0,,0,,,0,,0,,,,,,,0,0,20.5,0
15,RPMI-1640,90,,0,FBS_heat_inactivated,10,,0,L_glutamine,2e+06,HEPES,25,NaHCO3,25,,0,,,0,,0,,,,,,,0,0,20.5,0
18,RPMI-1640,90,,0,FBS,10,,,Insulin,10,,0,,,,0,,,0,,0,,,,,,,0,0,20.5,0
19,RPMI-1640,90,,0,FBS,10,,0,L_glutamine,2e+06,,0,,0,streptomycin,1,,Penicillin,1,,0,,,,,,,0,0,20.5,0
20,RPMI-1640,90,,0,FBS,10,Sodium Pyruvate,0.01,L_glutamine,2e+06,HEPES,10,,0,streptomycin,1,,Penicillin,1,,0,,,,,,,0,0,20.5,0
21,RPMI-1640,90,,0,FBS,10,,0,L_glutamine,2e+06,,0,,0,streptomycin,1,,Penicillin,1,,0,Dihydrocytochalasin B (DCB),2,,,,,0,0,20.5,0
22,RPMI-1640,90,,0,FBS,10,,0,L_glutamine,2e+06,,0,,0,streptomycin,1,,Penicillin,1,,0,MLN8237,0.100000001490116,,,,,0,0,20.5,0
23,RPMI-1640,90,,0,dFBS,10,,0,L_glutamine,2e+06,,0,,0,streptomycin,1,,Penicillin,1,,0,MLN8237,0.100000001490116,,,,,0,0,20.5,0
24,RPMI-1640,90,,0,dFBS,10,Phosphates,0,L_glutamine,0,,0,,0,streptomycin,1,,Penicillin,1,,0,,,,,,,0,0,20.5,0
25,RPMI-1640,90,,0,dFBS,10,,0,L_glutamine,0,,0,,0,streptomycin,1,,Penicillin,1,,0,,,,,,,0,0,20.5,0
26,RPMI-1640,10,PBS,90,dFBS,10,,0,,0,,0,,0,streptomycin,1,,Penicillin,1,,0,,,,,,,0,0,20.5,0
27,RPMI-1640,90,,0,dFBS,10,,0,Folic acid,0,,0,,0,streptomycin,1,,Penicillin,1,,0,,,,,,,0,0,20.5,0
