whichPerspective,origin,n
TranscriptomePerspective,SF2777,8386
TranscriptomePerspective,SF2979,7243
TranscriptomePerspective,SF11344,5791
TranscriptomePerspective,GSE117988_MCC_EarlyD27,5156
MorphologyPerspective,P06269_19488_mp,5116
MorphologyPerspective,P06269_19489_mp,5116
TranscriptomePerspective,GSE118056_MCC_Tumor,4972
TranscriptomePerspective,SF7388,4800
TranscriptomePerspective,SNU-668_0,4558
TranscriptomePerspective,SF11488,4463
TranscriptomePerspective,SF4449,4345
TranscriptomePerspective,SF12460,4265
TranscriptomePerspective,GSE143423_lbm3,4237
TranscriptomePerspective,SF11082,4141
TranscriptomePerspective,SF9798,4067
TranscriptomePerspective,NUGC-4,3726
TranscriptomePerspective,SF4324,3695
TranscriptomePerspective,SNU-601,3575
TranscriptomePerspective,GSE143423_lbm1,3559
TranscriptomePerspective,SF9962,3484
TranscriptomePerspective,SF9494,3468
TranscriptomePerspective,SF9358,3154
TranscriptomePerspective,NCI-N87_3,2919
MorphologyPerspective,P06269_19491_mr,2869
TranscriptomePerspective,SF1343,2747
TranscriptomePerspective,MKN-45,2668
TranscriptomePerspective,SF2628,2545
TranscriptomePerspective,GSE143423_tnbc6k,2352
TranscriptomePerspective,KATOIII,2244
MorphologyPerspective,P06270_19493_mp,2149
MorphologyPerspective,P06269_19490_nt,2075
TranscriptomePerspective,GSE117988_MCC_Pre,2029
TranscriptomePerspective,SNU-16_3,1857
TranscriptomePerspective,HGC-27,1773
TranscriptomePerspective,NCIH2110,1553
TranscriptomePerspective,GSE148673_TNBC5,1486
MorphologyPerspective,P06270_19495_mp,1347
TranscriptomePerspective,GSE148673_TNBC4,1252
MorphologyPerspective,P06270_19494_mp,1196
TranscriptomePerspective,SF10441,1113
TranscriptomePerspective,GSE148673_DCIS1,1105
TranscriptomePerspective,GSE143423_tnbc1,1103
GenomePerspective,NCI-N87,969
GenomePerspective,SNU-601,966
GenomePerspective,SNU-668,944
TranscriptomePerspective,GSE143423_lbm2,858
GenomePerspective,23,825
TranscriptomePerspective,SNU-638,817
TranscriptomePerspective,GSE148673_TNBC1,801
TranscriptomePerspective,SF4209,791
TranscriptomePerspective,HOS,788
GenomePerspective,MKN-45,778
GenomePerspective,HGC-27,769
TranscriptomePerspective,SCC25,763
GenomePerspective,NUGC-4,750
